,São Paulo,Minas Gerais,Paraná,Rio Grande do Sul,Rio de Janeiro,Bahia,Pernambuco,Santa Catarina,Ceará,Goiás,Pará,Maranhão,Espírito Santo,Rio Grande do Norte,Paraíba,Distrito Federal,Mato Grosso do Sul,Piauí,Alagoas,Mato Grosso,Amazonas,Sergipe,Tocantins,Rondônia,Acre,Roraima,Amapá
2013/Mar,254.93824241,126.11786662,83.9344661,76.56294015,57.51896422,57.98529733,50.71961872999999,45.61374907,37.8140067,31.49331962,28.38595537,23.985012989999998,19.869295440000002,15.838411279999999,16.41824441,16.20427468,13.981801710000001,13.95768519,13.92983186,13.62832637,10.1701309,7.35436934,7.93078814,5.49594692,2.81305949,1.78341148,2.05421374
2013/Abr,262.64986582,131.2528953,91.65882798,82.70569147,63.649897509999995,60.18916987,52.19668676,49.01388577,41.827390369999996,33.8851583,29.935288760000002,24.5231222,19.89029523,17.44002433,17.311199769999998,16.66120889,14.908567,15.15921627,14.40231114,13.33971757,10.53942815,7.57431116,7.84319737,5.38089026,2.90625788,1.71308373,2.21299419
2013/Mai,262.50997531999997,128.90889764,87.74736352,82.8553873,63.74211257,61.450345670000004,55.80445121,49.00408328,43.07282135,31.952066679999998,30.03111355,24.94908224,19.97977302,16.749166810000002,17.47956389,17.0354569,13.99006333,14.65184508,14.8431283,13.550755070000001,11.11003676,7.21846289,7.98553408,5.17001534,2.89327556,1.72446455,2.12715129
2013/Jun,254.00302272,126.74969943,87.78625731999999,80.63841168,61.60929774,57.60815648,52.17537116,49.08384068,38.19405344,30.69330671,28.28777949,23.923607230000002,19.406981920000003,15.541512939999999,15.895477080000001,15.936938199999998,14.03423859,14.82207298,14.70006189,13.04761448,10.46711016,7.08756373,7.33972475,4.89958621,2.6878614300000003,1.9653469099999998,2.0300729
2013/Jul,263.07196769,132.07937742000001,91.3001665,87.45653874,60.961363299999995,63.26619729,54.41889131,51.627615590000005,41.101106030000004,30.69402794,27.83418835,24.26032735,20.365841760000002,16.88348954,17.26459847,15.619909980000001,14.48984207,14.37421821,15.44677761,12.69211231,10.40064204,6.98796176,6.97338581,5.52695919,2.94038736,1.8350943,2.01898922
2013/Ago,265.89136031,130.21863431,92.86658349,84.52638995000001,61.533049950000006,62.25763864,57.41486105,50.20208487,42.52545989,32.84813494,28.495723690000002,24.690945460000002,20.87655266,16.13854788,16.78935935,17.2074264,14.317099429999999,14.09125229,14.224278779999999,13.55222624,10.85121249,7.24286323,7.2827197,5.8896853899999995,2.89594114,1.81609181,2.03026574
2013/Set,261.81295134,128.83491424,88.69311676999999,81.98392189,59.69309962,62.16383325,57.17943448,49.99015594,42.49288120000001,32.80370969,28.476294929999998,24.827957989999998,19.75834574,16.14123437,16.4779333,15.938775369999998,14.9666825,13.85994348,14.662410509999999,12.948758029999999,10.420922289999998,7.10243326,7.583823219999999,6.367552030000001,2.82479619,1.74144949,1.99837804
2013/Out,283.88012583,134.27596554,92.45350476,87.4523301,60.82081831,64.72926856000001,57.83404327,53.21413241,42.08234142,32.69700098,29.35643761,25.946591039999998,21.1459268,16.16157567,16.56038514,16.919100739999998,15.07739404,14.082278800000001,15.03668557,14.073754390000001,10.59900025,7.51850756,7.60201031,6.299844719999999,3.03423268,1.7795228,2.30238278
2013/Nov,247.97995213,123.88883702,82.38602999,82.65369149,54.05503239,59.20273098,54.20888993,49.771808920000005,39.804364,30.99551182,28.08621941,24.020335210000002,19.684239719999997,14.4195146,15.69958532,14.95090668,14.31350117,13.19495782,13.67458111,13.302924189999999,10.244521599999999,6.72492491,7.16666822,6.68586176,2.6823706499999997,1.69845051,1.9145233899999998
2013/Dez,230.48163233000002,124.20866826000001,76.97728436,77.63656705,53.07602699,57.27746821,52.43106239,43.44054524,38.78896855,29.448208140000002,27.12500459,23.1748158,18.86888232,14.117580310000001,15.199279480000001,14.38554052,13.360775960000002,12.19580815,12.076711029999998,12.03435069,9.306819970000001,6.55990426,6.8019912,6.16303606,2.680655,1.73985556,1.8615383799999998
2014/Jan,269.47173549,134.1561548,85.53591311,83.65572566,66.95569802,62.65012771,56.39945334,48.16631329,43.40608099,31.99160157,29.76726618,25.507397809999997,19.44701621,14.49597222,16.36923836,15.34726506,14.476457539999998,14.07314403,19.89787272,13.117006,9.474986900000001,7.46888842,7.1456549,6.349302,2.8805701200000002,1.64961713,2.17583082
2014/Fev,250.40240963999997,127.95165433,82.97433396,75.58444338,56.52384307,58.83415547,53.76765908,46.18740207,40.37055934000001,30.186539059999998,27.83538047,23.79654382,19.41198568,15.446589320000001,15.38364893,14.53839824,13.378691640000001,13.34065342,12.32639097,12.80437454,8.22511803,6.6371628,6.69230482,6.059111349999999,2.61147972,1.44469749,1.8357606000000002
2014/Mar,264.11021192,135.66519686,88.16928683,82.96505306,60.54154758,61.07449707,56.93141943,50.67498496,42.99511012,30.97498977,29.16341518,26.335073329999997,20.97796339,15.63316365,16.333987439999998,17.06047032,14.78485066,14.00883963,13.64552042,14.25460483,9.9239801,7.02000305,7.21601689,6.74043614,3.0261177000000004,1.82839554,2.03006308
2014/Abr,258.79894355,138.37717469999998,86.56372973,83.58585375,58.574440020000004,63.244494270000004,56.49271444,50.13328613,43.49139246,33.67244769,29.55556223,26.00899998,20.3726583,16.870824640000002,16.79602557,17.18159931,14.2369614,13.96476606,13.39488991,14.03817078,10.308887720000001,7.17793028,7.59366616,6.58424921,3.11643345,1.74347424,2.1704459799999998
2014/Mai,279.68897763,144.30355286000002,92.56832461,87.82140554,62.125146,66.19457343,60.73951881,52.07041011,45.375942020000004,34.12218842,29.90653473,26.222404440000002,22.330461670000002,18.06927941,17.35724308,17.25523112,16.186722,14.459727730000001,14.397326029999999,14.599236300000001,10.39810616,7.45710646,7.938065440000001,7.55808791,3.16655772,1.93937914,1.92514916
